entry,key,metric_name,family,family_name,business_question,formula,numerator,denominator,window,filters,grain,unit,required_fields,interpretation,common_failure,verification,common_variants,owned_by
B.2.1,line_revenue,Line revenue,B.2,"Revenue, margin, and volume",What did one order line contribute to net sales?,quantity x unit_price x (1 − discount_pct); stored as line_revenue and recomputed rather than trusted,"The extended, discounted value of a single order line","None - it is an amount, not a rate",The order's order_date; no window of its own,"Certified lines only; a line whose quantity, unit_price, or discount_pct is unresolved has no line revenue and must stay missing rather than becoming zero",One order line,Dollars,"quantity, unit_price, discount_pct","The building block every revenue metric in this appendix aggregates. It is net of line-level discount and gross of returns, credits, and refunds.","Summing a column in which unresolved lines were filled with 0.00. pandas sum() skips missing values by default, so a total computed over eleven lines of which one is unresolved is the revenue of ten lines wearing the label of eleven.","Recompute from quantity, unit_price, and discount_pct and compare with the stored column; then confirm the count of unresolved lines is zero before quoting any total.","Where returns are netted at line level, the same name denotes a different quantity. State whether returns and adjustments are inside the number.","Chapter 4, Section 4.8"
B.2.2,gross_sales,Gross sales,B.2,"Revenue, margin, and volume","What would the period have billed at catalog prices, before discount?",Sum of quantity x unit_price across the included lines,Extended catalog value of every included line,None - it is a total,"Stated period, both ends inclusive","Stated channel, store, and product filters","Whatever population is stated; commonly chain, store, or campaign",Dollars,"quantity, unit_price",Read only beside net revenue. Alone it overstates what the business earned by exactly the discount given.,"Reporting gross sales as 'revenue'. The gap between the two names is the whole promotional story, and collapsing it hides the discount dependence Chapter 6 measures.",Gross sales less discount dollars must equal net revenue exactly.,,Appendix B; the book uses net revenue throughout
B.2.3,discount_dollars,Discount dollars,B.2,"Revenue, margin, and volume",How much price was given away to produce this revenue?,Gross sales − net revenue; equivalently sum of quantity x unit_price x discount_pct,Catalog value forgone on the included lines,None - it is a total,Stated period,Stated filters; lines with discount_pct of 0 contribute nothing,Stated population,Dollars,"quantity, unit_price, discount_pct","Rising discount dollars against flat units is a margin story, not a demand story.","Confusing discount dollars with markdown at retail, which is an inventory-accounting quantity computed against a different base.","Must be non-negative, and must equal gross sales less net revenue.",,Appendix B
B.2.4,net_revenue,Net revenue,B.2,"Revenue, margin, and volume",What did the business actually earn from these orders?,Sum of line_revenue across the included lines,Sum of line_revenue,None - it is a total,"Stated period, both ends inclusive; a trailing window needs a start and an as-of date","Stated channel, store, customer, and campaign filters","Stated population - chain, store, metro, customer, campaign, or day",Dollars,"line_revenue, order_date, plus whatever the filters name",The book's default meaning of the bare word revenue. It is net of line discount and does not net returns.,"Quoting a revenue total whose window, filters, and returns treatment are unstated, so two correct totals disagree and neither can be reconciled.",Reconcile to the certified source total to the cent. An aggregation redistributes rows and must never create or destroy dollars.,"Recognized revenue as finance defines it may net returns, cancellations, and gift-card breakage. Where the dashboard sits beside a finance report, say which is being shown.","Chapter 4, Section 4.8"
B.2.5,line_cost,Line cost,B.2,"Revenue, margin, and volume",What did the goods on one order line cost to sell?,quantity x unit_cost,Extended variable cost of a single order line,None - it is an amount,The order's order_date,Certified lines only,One order line,Dollars,"quantity, unit_cost","What line_cost carries decides whether the difference below it is contribution or gross profit. In the certified extract it carries merchandise cost, inbound freight, payment processing, and pick-and-ship.","Assuming the cost column is fully loaded when it carries merchandise cost alone. If it does, every quantity below is gross profit and must be relabeled.",Confirm with finance what line_cost contains before naming anything computed from it.,,"Chapter 13, Section 13.12.1"
B.2.6,contribution,Contribution,B.2,"Revenue, margin, and volume","What is left after the variable cost of selling, before the fixed footprint?",Sum of (line_revenue − line_cost),Net revenue less variable cost on the included lines,None - it is a total,Stated period,Stated population; the go/no-go dashboard computes it for suburban and resort stores only,Stated population; the dashboard uses one store-week,Dollars,"line_revenue, line_cost",Revenue after variable cost and before the fixed footprint. It is the quantity a store must generate enough of to cover its own rent.,"Calling it contribution when line_cost carries merchandise cost alone. That quantity is gross profit, and every sentence using the word contribution is then wrong.",Must be less than net revenue on the same population. Recompute on one store-week by hand from the underlying lines.,"Contribution after occupancy, and contribution after allocated overhead, are different and larger deductions. Name the deduction, not just the word.","Chapter 13, Section 13.12.1"
B.2.7,contribution_margin,Contribution margin,B.2,"Revenue, margin, and volume",What share of each revenue dollar survives variable cost?,"Sum of (line_revenue − line_cost) / Sum of line_revenue, on the same cost definition",Contribution on the stated population,Net revenue on the same population,Stated period,"Same population for numerator and denominator, without exception","One population, not one line - it is a pooled ratio",Percentage,"line_revenue, line_cost","A within-population conversion factor. Chapter 13 computes 46 percent for the suburban and resort stores, which is not the chain's margin and may not be used as one.",Applying a margin computed on one population to a quantity measured on another. The chain's contribution and the suburban stores' margin do not belong in the same fraction.,"Bounded above by 1. Recompute from the two totals rather than averaging line-level margins, which weights a $24 line like a $248 one.",Gross margin uses merchandise cost alone in the numerator and is systematically larger. The two are routinely swapped in decks.,"Chapter 13, Section 13.12.1"
B.2.8,net_contribution_after_ad_spend,Net contribution after advertising spend,B.2,"Revenue, margin, and volume",Did this campaign's revenue survive both product cost and the advertising that produced it?,revenue x margin_rate − ad_spend,"Gross margin dollars on campaign revenue, less advertising spend",None - it is an amount,The campaign window,"One campaign; advertising spend only, excluding creative production and agency fees",One marketing campaign,Dollars,"revenue, margin_rate, ad_spend",The correction to return on ad spend that margin supplies. A campaign can lead on return on ad spend and still destroy contribution.,"Calling it contribution margin. It is not: it excludes every marketing cost other than advertising, and the name is chosen so the two cannot be confused.","Recompute one campaign by hand. Confirm the sign: a negative value is a finding, not an error.",,"Chapter 1, Lab 1.2"
B.2.9,units_sold,Units sold,B.2,"Revenue, margin, and volume","How much merchandise moved, independent of price?",Sum of quantity across the included lines,Sum of quantity,None - it is a count,Stated period,Stated filters,Stated population,Count of units,quantity,The volume half of every revenue movement. Revenue up with units flat is a price or mix story.,Counting order lines instead of units. A line carrying a quantity of three is one line and three units.,Units must be at least as large as the line count on a file with no zero-quantity lines.,,"Chapter 5, Section 5.7"
B.2.10,order_count,Number of orders,B.2,"Revenue, margin, and volume",How many purchase occasions occurred?,Count of distinct order_id,Distinct order_id values,None - it is a count,Stated period,Stated filters,Stated population,Count of orders,order_id,The denominator of average order value and the volume term in the customer-value identity.,Using the row count of a line-grain file. A distinct count is not a row count; nunique on order_id counts orders and size counts order lines.,"Distinct orders must be no greater than the line count, and must equal the row count of any order-grain roll-up of the same file.",,"Chapter 4, Section 4.8"
